,floor_id,ds,y,power_consumption_ori,predict_value,yhat_lower,yhat_upper,error,flag,time
0,0,2022-06-01 16:00:00,1425.09,1425.09,,,,,,16:00:00
1,0,2022-06-01 17:00:00,1408.68,1408.68,,,,,,17:00:00
2,0,2022-06-01 18:00:00,1221.58,1221.58,,,,,,18:00:00
3,0,2022-06-01 19:00:00,1088.53,1088.53,,,,,,19:00:00
4,0,2022-06-01 20:00:00,787.11,787.11,,,,,,20:00:00
5,0,2022-06-01 21:00:00,446.97,446.97,,,,,,21:00:00
6,0,2022-06-01 22:00:00,413.09,413.09,,,,,,22:00:00
7,0,2022-06-01 23:00:00,383.04,383.04,,,,,,23:00:00
8,0,2022-06-02 00:00:00,343.17,343.17,,,,,,00:00:00
9,0,2022-06-02 01:00:00,312.18,312.18,,,,,,01:00:00
10,0,2022-06-02 02:00:00,225.24,225.24,,,,,,02:00:00
11,0,2022-06-02 03:00:00,217.74,217.74,,,,,,03:00:00
12,0,2022-06-02 04:00:00,214.06,214.06,,,,,,04:00:00
13,0,2022-06-02 05:00:00,215.91,215.91,,,,,,05:00:00
14,0,2022-06-02 06:00:00,219.24,219.24,,,,,,06:00:00
15,0,2022-06-02 07:00:00,671.53,671.53,,,,,,07:00:00
16,0,2022-06-02 08:00:00,1211.36,1211.36,,,,,,08:00:00
17,0,2022-06-02 09:00:00,1270.89,1270.89,,,,,,09:00:00
18,0,2022-06-02 10:00:00,1458.42,1458.42,,,,,,10:00:00
19,0,2022-06-02 11:00:00,1469.63,1469.63,,,,,,11:00:00
20,0,2022-06-02 12:00:00,1488.31,1488.31,,,,,,12:00:00
21,0,2022-06-02 13:00:00,1479.85,1479.85,,,,,,13:00:00
22,0,2022-06-02 14:00:00,1471.28,1471.28,,,,,,14:00:00
23,0,2022-06-02 15:00:00,1520.78,1520.78,,,,,,15:00:00
24,0,2022-06-02 16:00:00,1512.43,1512.43,,,,,,16:00:00
25,0,2022-06-02 17:00:00,1460.14,1460.14,,,,,,17:00:00
26,0,2022-06-02 18:00:00,1406.1,1406.1,,,,,,18:00:00
27,0,2022-06-02 19:00:00,1241.18,1241.18,,,,,,19:00:00
28,0,2022-06-02 20:00:00,1055.64,1055.64,,,,,,20:00:00
29,0,2022-06-02 21:00:00,1045.83,1045.83,,,,,,21:00:00
30,0,2022-06-02 22:00:00,912.87,912.87,,,,,,22:00:00
31,0,2022-06-02 23:00:00,498.29,498.29,,,,,,23:00:00
32,0,2022-06-03 00:00:00,359.08,359.08,,,,,,00:00:00
33,0,2022-06-03 01:00:00,335.56,335.56,,,,,,01:00:00
34,0,2022-06-03 02:00:00,235.84,235.84,,,,,,02:00:00
35,0,2022-06-03 03:00:00,237.28,237.28,,,,,,03:00:00
36,0,2022-06-03 04:00:00,238.05,238.05,,,,,,04:00:00
37,0,2022-06-03 05:00:00,232.42,232.42,,,,,,05:00:00
38,0,2022-06-03 06:00:00,243.79,243.79,,,,,,06:00:00
39,0,2022-06-03 07:00:00,559.29,559.29,,,,,,07:00:00
40,0,2022-06-03 08:00:00,1231.56,1231.56,,,,,,08:00:00
41,0,2022-06-03 09:00:00,1323.43,1323.43,,,,,,09:00:00
42,0,2022-06-03 10:00:00,1370.06,1370.06,,,,,,10:00:00
43,0,2022-06-03 11:00:00,1378.8,1378.8,,,,,,11:00:00
44,0,2022-06-03 12:00:00,1391.69,1391.69,,,,,,12:00:00
45,0,2022-06-03 13:00:00,1382.49,1382.49,,,,,,13:00:00
46,0,2022-06-03 14:00:00,1394.13,1394.13,,,,,,14:00:00
47,0,2022-06-03 15:00:00,1401.75,1401.75,,,,,,15:00:00
48,0,2022-06-03 16:00:00,1397.84,1397.84,,,,,,16:00:00
49,0,2022-06-03 17:00:00,1415.64,1415.64,,,,,,17:00:00
50,0,2022-06-03 18:00:00,1386.12,1386.12,,,,,,18:00:00
51,0,2022-06-03 19:00:00,1253.11,1253.11,,,,,,19:00:00
52,0,2022-06-03 20:00:00,1143.87,1143.87,,,,,,20:00:00
53,0,2022-06-03 21:00:00,1024.32,1024.32,,,,,,21:00:00
54,0,2022-06-03 22:00:00,1020.92,1020.92,,,,,,22:00:00
55,0,2022-06-03 23:00:00,519.28,519.28,,,,,,23:00:00
56,0,2022-06-04 00:00:00,387.33,387.33,,,,,,00:00:00
57,0,2022-06-04 01:00:00,352.18,352.18,,,,,,01:00:00
58,0,2022-06-04 02:00:00,256.62,256.62,,,,,,02:00:00
59,0,2022-06-04 03:00:00,258.36,258.36,,,,,,03:00:00
60,0,2022-06-04 04:00:00,257.19,257.19,,,,,,04:00:00
61,0,2022-06-04 05:00:00,251.89,251.89,,,,,,05:00:00
62,0,2022-06-04 06:00:00,260.0,260.0,,,,,,06:00:00
63,0,2022-06-04 07:00:00,292.41,292.41,,,,,,07:00:00
64,0,2022-06-04 08:00:00,562.27,562.27,,,,,,08:00:00
65,0,2022-06-04 09:00:00,1139.07,1139.07,,,,,,09:00:00
66,0,2022-06-04 10:00:00,940.72,940.72,,,,,,10:00:00
67,0,2022-06-04 11:00:00,955.74,955.74,,,,,,11:00:00
68,0,2022-06-04 12:00:00,964.15,964.15,,,,,,12:00:00
69,0,2022-06-04 13:00:00,981.81,981.81,,,,,,13:00:00
70,0,2022-06-04 14:00:00,980.68,980.68,,,,,,14:00:00
71,0,2022-06-04 15:00:00,956.47,956.47,,,,,,15:00:00
72,0,2022-06-04 16:00:00,918.29,918.29,,,,,,16:00:00
73,0,2022-06-04 17:00:00,893.12,893.12,,,,,,17:00:00
74,0,2022-06-04 18:00:00,859.48,859.48,,,,,,18:00:00
75,0,2022-06-04 19:00:00,820.17,820.17,,,,,,19:00:00
76,0,2022-06-04 20:00:00,375.07,375.07,,,,,,20:00:00
77,0,2022-06-04 21:00:00,63.7,63.7,,,,,,21:00:00
78,0,2022-06-04 22:00:00,53.12,53.12,,,,,,22:00:00
79,0,2022-06-04 23:00:00,45.34,45.34,,,,,,23:00:00
